name,lat,lng,pop
LATIUNG,2.3574174496644305,96.45242013422816,779
LABUHAN BAJAU,2.391348275862069,96.47911724137934,88
SUAK LAMATAN,2.353942857142858,96.36480892857148,2205
ANA AO,2.4391,96.45088157894736,1890
LATALING,2.458705263157894,96.4554,1577
PULAU BENGKALAK,0.0,0.0,440
BADEGONG,2.3478235955056177,96.43450337078652,165
KEBUN BARU,2.371782142857143,96.4294017857143,548
ULUL MAYANG,2.3815510638297868,96.40927021276596,261
PASIR TINGGI,3.118699999999995,97.31120000000008,152
LABUHAN JAYA,2.383270270270271,96.47948108108108,405
LABUHAN BAKTI,3.1186999999999934,97.31120000000008,269
BATU RALANG,2.357776595744681,96.39689361702128,53
ALUS ALUS,0.0,0.0,1637
SEUNEUBOK,0.0,0.0,2293
BLANG SEBEL,2.4245142857142863,96.45690000000003,698
TRANS BARU,2.3901181818181825,96.42037272727272,1605
TRANS MERANTI,0.0,0.0,3216
TRANS JERNGE,2.374598837209303,96.43832209302325,28
AIR PINANG,2.580459154929577,96.24108098591547,2059
KUALA MAKMUR,2.5455246753246747,96.2976506493507,13942
GANTING,3.1186999999999934,97.31120000000008,7941
LINGGI,3.1186999999999934,97.31120000000008,3183
LUGU,2.497811009174313,96.361371559633,2140
SINABANG,2.476922950819672,96.38195245901645,10926
SUKA MAJU,2.4811974999999995,96.37951750000002,3230
SUKA KARYA,2.4793855555555546,96.37468555555556,1462
SUKA JAYA,2.4707681818181837,96.38386000000006,2106
AIR DINGIN,2.459079861111111,96.38719444444445,4158
KOTA BATU,2.47919416058394,96.40879598540148,19509
SUAK BULUH,2.432430612244897,96.38842244897958,899
UJUNG TINGGI,2.553284615384616,96.27148589743592,1171
PULAU SIUMAT,3.1187000000000014,97.31120000000006,4209
SEFOYAN,3.1186999999999947,97.31120000000008,2389
AMAITENG MULIA,0.0,0.0,1097
AMERIA BAHAGIA,0.0,0.0,6671
SITAL,0.0,0.0,1786
LEUBANG,2.4479016129032263,96.28916612903228,1062
LEUBANG HULU,2.4640568181818185,96.29720227272728,5439
AWE SEUBAL,2.455075,96.28003125,2969
LANTIK,2.453661290322581,96.26829032258058,528
AWE KECIL,2.463258620689656,96.26208275862068,982
SALUR,2.4601707317073185,96.24675000000003,11607
SALUR LATUN,2.485922857142858,96.25539999999998,2058
SALUR LASENGALU,3.1186999999999947,97.31120000000008,3539
NANCALA,2.470280851063829,96.23191063829788,2274
MAUDIL,2.48018085106383,96.2191659574468,2506
INOR,2.4907408163265305,96.20668163265304,3582
NAIBOS,2.4986397260273967,96.19078493150688,2108
LAAYON,0.0,0.0,184
ANGKEO,2.5312758169934653,96.16325294117652,2427
BUNON,2.5298631578947366,96.14368947368423,5751
SILENGAS,2.5417648351648348,96.13599010989012,1818
PULAU TEUPAH,3.1187,97.31120000000006,1437
KAHAT,0.0,0.0,4252
BUSUNG INDAH,2.393209523809523,96.3369968253968,353
NANCAWA,2.4029000000000003,96.36259333333332,755
LABUAH,2.4248361702127665,96.36377021276596,1127
ABAIL,2.423682222222222,96.34899555555556,4076
SIMPANG ABAIL,2.4162389610389607,96.34022337662338,3247
LANTING,2.4149838709677423,96.33515161290325,9926
LASIKIN,2.406751351351351,96.3260135135135,2403
MATANURUNG,2.3929268656716416,96.3179328358209,423
SUA SUA,0.0,0.0,3418
BATU BATU,0.0,0.0,2896
SITUBUK,2.436935,96.31090249999998,5313
DIHIT,2.548265024630543,96.14893103448276,681
LAUKE,0.0,0.0,1441
LAMBAYA,2.614354098360656,96.0190737704918,432
LAKUBANG,2.5876222222222225,95.98763555555556,63
KAMPUNG AIE,2.6275228070175443,95.96706491228068,194
LAUREE,0.0,0.0,3152
LATITIK,2.648546153846154,95.99737692307696,1186
LAMAYANG,2.6483361702127657,95.98679787234042,2287
WEL WEL,2.6583286885245903,95.9544918032787,2832
SITUFA JAYA,3.1187000000000005,97.31120000000006,455
PUTRA JAYA,2.5946883333333344,96.06369999999998,1815
LUAN SORIP,0.0,0.0,2408
SUAK BARU,2.5916192307692305,95.97684615384615,812
SEBBE,2.6472031746031752,96.01020793650792,741
KUTA BARU,2.6383367346938784,95.97502857142858,490
WEL LANGKOM,0.0,0.0,331
KUALA BAKTI,2.652396453900709,96.0974028368793,9425
LUGU SEBAHAK,0.0,0.0,2827
GUNUNG PUTIH,3.1186999999999934,97.31120000000008,1855
BABUSSALAM,3.118699999999996,97.31120000000008,21319
MUARA AMAN,3.118699999999992,97.31119999999991,9058
LUAN BALU,2.618323999999999,96.18442057142865,945
SAMBAI,0.0,0.0,777
